,exemplar ENGLISH,anvil,chisel,axe,drill,crowbar,screw wrench,lawn mower,hammer,spanner,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,moped,vacuum cleaner,tongs,rope,paint brush,file,level,saw
exemplar DUTCH,,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,anvil,0,4,6,1,3,5,1,4,2,4,4,1,6,3,1,2,2,6,1,2,2,3,4,1,5,1,3,3,4,2
beitel,chisel,0,0,5,3,5,5,3,6,2,5,4,1,12,8,2,12,3,6,5,6,3,12,12,1,7,2,12,13,5,4
bijl,axe,0,0,0,2,4,3,4,8,4,14,4,1,10,3,1,3,4,3,3,6,4,3,3,1,4,4,5,4,2,5
boormachine,drill,0,0,0,0,3,5,6,3,3,6,6,2,3,3,3,4,5,3,3,13,5,5,6,2,4,2,2,5,3,3
breekijzer,crowbar,0,0,0,0,0,10,3,6,3,3,7,2,15,5,2,4,3,7,5,9,5,4,5,1,6,1,4,6,5,5
engelse sleutel,adjustable spanner,0,0,0,0,0,0,1,9,2,5,10,2,7,15,2,7,3,6,3,7,3,10,10,1,17,5,5,6,5,3
grasmachine,lawn mower,0,0,0,0,0,0,0,2,2,2,2,4,7,2,1,4,5,2,2,3,5,1,5,2,2,1,1,3,1,5
hamer,hammer,0,0,0,0,0,0,0,0,3,8,7,2,5,4,3,5,4,3,4,5,4,4,5,1,4,1,3,4,4,3
houtklem,clamp,0,0,0,0,0,0,0,0,0,2,4,2,1,2,2,3,2,4,2,2,3,3,1,1,10,2,2,3,3,2
houweel,pickaxe,0,0,0,0,0,0,0,0,0,0,6,1,5,3,1,4,4,4,6,7,3,3,5,1,4,3,2,4,2,4
koevoet,crowbar,0,0,0,0,0,0,0,0,0,0,0,2,8,11,2,7,3,5,4,4,2,7,11,1,12,2,4,4,4,7
kruiwagen,wheelbarrow,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,2,2,3,3,2,2,1,2,2,1,2,1,2
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,15,6,8,4,6,8,6,7,1,4,4,5,14,5,9
moersleutel,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,6,3,7,4,7,2,1,12,1,2,4,5,4
oliespuit,oil can,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,3,1,1,2,1,2,2,2,2,1,1
plamuurmes,filling knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,5,7,5,5,6,1,5,1,6,12,5,8
ploeg,plough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,4,5,6,1,1,1,2,3,3,4
schaaf,plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,12,3,5,1,6,2,4,15,5,5
schop,shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4,1,2,1,1,7,2,3
schroevendraaier,screwdriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,1,7,2,2,5,2,4
slijpschijf,grinding disc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,1,6,4,12
spijker,nail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,1,4,10,6,4
staalborstel,wire brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,6,7,3,5
stofzuiger,vacuum cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
tang,tongs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,5,3
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
verfborstel,paint brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3
vijl,file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
waterpas,level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
zaag,saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
