,exemplar ENGLISH,anvil,chisel,axe,drill,crowbar,screw wrench,lawn mower,hammer,spanner,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,moped,vacuum cleaner,tongs,rope,paint brush,file,level,saw
exemplar DUTCH,,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,anvil,0,16,15,14,17,15,14,17,15,15,17,14,15,16,15,16,15,15,16,15,15,14,15,15,15,14,15,15,15,15
beitel,chisel,0,0,17,14,15,16,14,17,16,16,14,14,17,17,16,15,16,16,16,16,16,16,15,14,17,15,15,16,15,16
bijl,axe,0,0,0,15,16,16,14,17,15,17,15,15,17,15,15,15,15,16,16,15,14,15,15,14,16,14,16,15,15,14
boormachine,drill,0,0,0,0,14,14,14,16,12,14,14,14,14,15,15,14,14,14,15,15,14,14,14,14,14,13,14,14,14,15
breekijzer,crowbar,0,0,0,0,0,17,14,15,14,15,18,15,15,15,15,15,14,15,16,16,14,15,14,14,16,13,15,16,16,15
engelse sleutel,adjustable spanner,0,0,0,0,0,0,15,16,15,15,15,15,16,19,15,16,14,14,14,17,14,15,15,14,17,14,14,14,15,14
grasmachine,lawn mower,0,0,0,0,0,0,0,15,15,15,14,14,16,14,14,14,14,15,14,14,15,14,14,15,15,15,15,14,14,14
hamer,hammer,0,0,0,0,0,0,0,0,15,16,16,14,15,14,14,14,15,14,15,16,14,15,15,14,16,14,16,15,15,16
houtklem,clamp,0,0,0,0,0,0,0,0,0,16,15,15,15,15,15,15,14,16,15,15,14,14,15,14,16,15,15,15,15,15
houweel,pickaxe,0,0,0,0,0,0,0,0,0,0,18,15,16,14,14,15,11,15,16,15,15,12,15,14,15,15,15,16,15,15
koevoet,crowbar,0,0,0,0,0,0,0,0,0,0,0,16,16,15,15,15,15,16,16,15,14,15,15,14,15,14,14,15,15,15
kruiwagen,wheelbarrow,0,0,0,0,0,0,0,0,0,0,0,0,14,15,14,14,16,15,15,14,14,14,15,14,15,15,14,14,13,14
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,18,13,16,16,16,16,16,16,14,15,15,15,18,16,16
moersleutel,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,14,16,14,15,15,15,15,14,16,15,15,15,14,15
oliespuit,oil can,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,15,15,15,14,15,16,14,15,15,15,14,14,15
plamuurmes,filling knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,15,15,14,15,15,14,16,13,16,16,16,16
ploeg,plough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,16,15,15,15,9,13,15
schaaf,plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,16,15,15,15,15,15,15,18,14,17
schop,shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,15,13,14,15,14,16,15,15,15
schroevendraaier,screwdriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,15,14,15,15,15,16,15,15
slijpschijf,grinding disc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,15,14,14,16,15,14
spijker,nail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,15,13,15,16,15,13
staalborstel,wire brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,15,18,17,15,15
stofzuiger,vacuum cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,15,14,14
tang,tongs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,16,15,16
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,14
verfborstel,paint brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,14
vijl,file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15
waterpas,level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
zaag,saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
