,exemplar ENGLISH,anvil,chisel,axe,drill,crowbar,screw wrench,lawn mower,hammer,spanner,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,moped,vacuum cleaner,tongs,rope,paint brush,file,level,saw
exemplar DUTCH,,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,anvil,0,9,5,5,17,10,4,11,7,12,15,9,8,12,7,6,7,6,7,5,6,11,4,5,10,5,10,7,9,5
beitel,chisel,0,0,15,9,16,9,8,10,13,7,10,3,14,7,3,5,7,8,4,4,15,7,9,3,10,8,4,19,9,12
bijl,axe,0,0,0,9,17,8,6,8,9,15,14,9,14,9,7,10,14,8,14,12,9,7,11,5,10,5,8,12,13,14
boormachine,drill,0,0,0,0,6,6,17,11,8,8,5,8,15,3,4,9,5,4,6,8,17,1,4,14,6,4,6,5,11,9
breekijzer,crowbar,0,0,0,0,0,11,8,12,10,16,18,4,18,7,16,10,6,13,13,7,9,11,5,3,12,8,10,11,5,14
engelse sleutel,adjustable spanner,0,0,0,0,0,0,5,7,5,5,15,15,11,15,8,12,12,8,7,11,3,5,5,3,14,5,3,5,5,15
grasmachine,lawn mower,0,0,0,0,0,0,0,4,5,5,7,10,12,4,5,4,7,4,4,5,7,2,5,9,7,3,3,5,5,8
hamer,hammer,0,0,0,0,0,0,0,0,10,17,10,5,9,6,11,7,7,8,8,14,7,8,6,3,13,7,4,8,15,12
houtklem,clamp,0,0,0,0,0,0,0,0,0,6,10,8,8,13,9,10,5,5,8,4,7,9,5,5,18,6,8,7,4,7
houweel,pickaxe,0,0,0,0,0,0,0,0,0,0,15,3,8,4,7,8,16,4,14,16,5,8,6,5,12,7,8,13,10,6
koevoet,crowbar,0,0,0,0,0,0,0,0,0,0,0,7,11,9,6,10,5,8,7,12,9,9,11,7,10,5,14,12,9,5
kruiwagen,wheelbarrow,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,3,12,9,5,5,9,3,3,11,14,6,10,4,11,4
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,7,7,15,9,9,12,8,8,3,8,9,4,18,8,15
moersleutel,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,7,9,16,7,11,7,5,15,8,6,6,7,11
oliespuit,oil can,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,6,7,5,5,6,3,5,9,6,6,2,6
plamuurmes,filling knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,11,7,11,3,7,3,16,9,7,5,12,4
ploeg,plough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,6,6,9,8,5,8,9,7,5,4,6
schaaf,plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,14,9,7,6,9,4,6,18,5,16
schop,shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,8,4,16,5,5,8,6,14
schroevendraaier,screwdriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,7,15,5,11,11,12,6
slijpschijf,grinding disc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,9,8,6,8,8,5,14
spijker,nail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,11,6,6,10,4,5
staalborstel,wire brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,18,14,4,15
stofzuiger,vacuum cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,3
tang,tongs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,5,9,7
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,5
verfborstel,paint brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7
vijl,file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
waterpas,level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
zaag,saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
