,exemplar ENGLISH,anvil,chisel,axe,drill,crowbar,screw wrench,lawn mower,hammer,spanner,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,moped,vacuum cleaner,tongs,rope,paint brush,file,level,saw
exemplar DUTCH,,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,anvil,0,6,10,3,12,6,1,6,2,10,4,4,1,10,10,4,3,9,4,14,6,2,6,10,10,3,3,5,8,2
beitel,chisel,0,0,10,1,9,3,2,15,12,14,5,3,9,15,6,8,13,6,12,7,8,9,3,1,4,4,6,8,2,6
bijl,axe,0,0,0,6,4,6,15,9,6,16,3,2,2,6,4,4,2,2,6,2,4,2,9,2,6,2,2,5,5,2
boormachine,drill,0,0,0,0,5,6,6,6,16,6,11,1,3,3,1,11,12,12,10,7,6,6,6,4,3,6,5,2,14,4
breekijzer,crowbar,0,0,0,0,0,15,6,2,3,9,19,6,6,16,3,7,2,7,6,6,8,14,15,1,10,1,5,12,2,2
engelse sleutel,adjustable spanner,0,0,0,0,0,0,5,10,6,3,12,8,8,3,4,7,3,10,6,15,6,12,9,7,17,6,7,4,6,6
grasmachine,lawn mower,0,0,0,0,0,0,0,1,6,3,3,7,2,6,4,3,7,3,2,6,11,4,2,1,1,1,1,2,3,2
hamer,hammer,0,0,0,0,0,0,0,0,4,10,2,4,9,15,7,3,2,13,7,5,3,2,5,2,2,2,3,8,4,12
houtklem,clamp,0,0,0,0,0,0,0,0,0,12,9,4,5,5,2,10,6,5,3,1,12,5,10,8,1,6,12,6,13,8
houweel,pickaxe,0,0,0,0,0,0,0,0,0,0,2,2,4,7,2,5,11,3,15,12,3,9,10,1,3,3,4,8,14,2
koevoet,crowbar,0,0,0,0,0,0,0,0,0,0,0,5,3,5,4,14,12,8,7,8,5,2,15,7,2,4,2,13,13,5
kruiwagen,wheelbarrow,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,16,5,12,2,8,2,2,2,5,4,3,9,3,2
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,15,3,4,5,5,4,10,2,1,2,1,2,3,10,9
moersleutel,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,5,3,15,9,15,13,2,8,11,11,10,1,9
oliespuit,oil can,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,3,4,1,13,6,1,2,3,10,13,6,1
plamuurmes,filling knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,15,4,5,3,1,17,2,1,10,3,16,3
ploeg,plough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,4,1,6,6,2,9,2,7,4,2
schaaf,plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,15,6,6,1,5,6,2,13,3,16
schop,shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,8,2,1,4,15,3,12,3,9
schroevendraaier,screwdriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,2,7,5,4,2,1,6
slijpschijf,grinding disc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,15,5,11,5,2,2,3
spijker,nail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,5,3,1,15,3,7
staalborstel,wire brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,14,2,3,5,5
stofzuiger,vacuum cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,7,11,7,1
tang,tongs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,5,9,4
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,9
verfborstel,paint brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6
vijl,file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
waterpas,level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
zaag,saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
