,exemplar ENGLISH,anvil,chisel,axe,drill,crowbar,screw wrench,lawn mower,hammer,spanner,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,moped,vacuum cleaner,tongs,rope,paint brush,file,level,saw
exemplar DUTCH,,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,anvil,0,10,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
beitel,chisel,0,0,6,7,5,1,1,8,1,8,13,1,8,1,1,15,7,1,8,11,4,11,13,1,2,1,1,8,8,1
bijl,axe,0,0,0,1,11,1,1,13,1,8,10,1,8,1,1,1,12,3,10,1,1,1,1,1,1,1,1,1,1,1
boormachine,drill,0,0,0,0,7,1,6,8,1,1,1,1,1,1,1,1,1,7,11,5,16,1,1,6,1,1,1,8,1,1
breekijzer,crowbar,0,0,0,0,0,8,1,1,2,15,19,1,10,5,1,1,8,1,6,10,1,3,2,1,8,1,3,1,1,1
engelse sleutel,adjustable spanner,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1
grasmachine,lawn mower,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,8,1,1,1,1,1,1
hamer,hammer,0,0,0,0,0,0,0,0,2,1,2,1,1,8,1,1,1,1,6,1,1,3,1,1,1,1,1,1,1,1
houtklem,clamp,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,1,7,1,1,1,1,1,1,1,1,1
houweel,pickaxe,0,0,0,0,0,0,0,0,0,0,13,1,8,1,1,9,15,3,10,1,1,3,9,1,5,1,1,1,1,1
koevoet,crowbar,0,0,0,0,0,0,0,0,0,0,0,1,6,5,5,2,3,1,12,8,4,6,1,1,10,1,8,1,1,1
kruiwagen,wheelbarrow,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,4,7,3,1,10,3,7,1,3,1,1,4,1,8
moersleutel,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10,1,7,1,1,6,1,1,1,1,1
oliespuit,oil can,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
plamuurmes,filling knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,1,1,1,13,1,1,1,1,1,1,7
ploeg,plough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,1,1,1,1,1,1,1,1,1,1
schaaf,plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,1,15,1,1,1,1,13,1,8
schop,shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
schroevendraaier,screwdriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,1,1,1,1,6,1,1
slijpschijf,grinding disc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,15,1,10
spijker,nail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,4,1,1,3
staalborstel,wire brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,1,1,4
stofzuiger,vacuum cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
tang,tongs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
verfborstel,paint brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8
vijl,file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
waterpas,level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zaag,saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
