,exemplar ENGLISH,anvil,chisel,axe,drill,crowbar,screw wrench,lawn mower,hammer,spanner,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,moped,vacuum cleaner,tongs,rope,paint brush,file,level,saw
exemplar DUTCH,,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,anvil,0,2,15,3,2,6,2,2,2,15,2,1,2,2,-1,1,4,-1,3,1,2,1,2,1,2,1,3,8,6,2
beitel,chisel,0,0,5,4,8,4,3,7,3,15,6,2,7,2,-1,16,3,-1,13,12,3,4,2,1,2,1,6,9,2,3
bijl,axe,0,0,0,4,16,7,3,4,3,8,3,1,12,3,-1,6,5,-1,7,7,5,4,3,2,3,1,2,5,2,5
boormachine,drill,0,0,0,0,3,3,5,2,1,3,4,3,3,2,-1,1,2,-1,5,3,4,2,3,5,2,1,2,3,1,2
breekijzer,crowbar,0,0,0,0,0,2,3,6,8,8,17,2,7,14,-1,11,4,-1,10,18,5,4,3,2,4,1,3,4,2,8
engelse sleutel,adjustable spanner,0,0,0,0,0,0,1,2,3,3,2,2,3,1,-1,2,3,-1,3,2,2,2,3,2,7,1,5,2,2,1
grasmachine,lawn mower,0,0,0,0,0,0,0,2,3,2,1,13,6,2,-1,3,16,-1,5,3,4,3,2,5,4,1,2,3,1,3
hamer,hammer,0,0,0,0,0,0,0,0,1,5,6,1,1,3,-1,2,4,-1,3,3,3,2,2,1,3,1,2,2,2,10
houtklem,clamp,0,0,0,0,0,0,0,0,0,-1,3,1,2,2,-1,2,2,-1,3,2,3,2,3,3,8,2,2,2,2,3
houweel,pickaxe,0,0,0,0,0,0,0,0,0,0,8,3,8,2,-1,17,8,-1,8,4,9,2,3,2,3,1,3,7,2,4
koevoet,crowbar,0,0,0,0,0,0,0,0,0,0,0,3,7,2,-1,4,5,-1,10,17,2,2,4,2,7,1,1,6,1,4
kruiwagen,wheelbarrow,0,0,0,0,0,0,0,0,0,0,0,0,3,1,-1,2,7,-1,7,2,1,2,2,3,2,1,2,3,3,3
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,14,12,-1,7,10,12,4,3,1,4,1,3,14,1,15
moersleutel,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,7,3,-1,2,12,2,2,3,3,16,1,3,3,1,2
oliespuit,oil can,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plamuurmes,filling knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,3,14,1,2,4,3,3,1,10,8,2,4
ploeg,plough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,17,2,2,3,10,4,4,1,3,3,1,10
schaaf,plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
schop,shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,10,4,3,1,1,4,1,3
schroevendraaier,screwdriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,1,3,2,2,5,2,3
slijpschijf,grinding disc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,3,1,1,6,2,4
spijker,nail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,4,2,2
staalborstel,wire brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,17,9,3,3
stofzuiger,vacuum cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,2
tang,tongs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
verfborstel,paint brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
vijl,file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
waterpas,level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zaag,saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
