,exemplar ENGLISH,anvil,chisel,axe,drill,crowbar,screw wrench,lawn mower,hammer,spanner,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,moped,vacuum cleaner,tongs,rope,paint brush,file,level,saw
exemplar DUTCH,,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,anvil,0,2,3,2,1,3,1,11,-1,1,5,1,2,2,1,2,1,2,1,1,3,2,11,1,2,1,1,2,1,1
beitel,chisel,0,0,15,12,13,15,2,6,-1,15,15,11,14,15,1,15,15,11,2,15,5,14,9,1,11,1,11,15,10,17
bijl,axe,0,0,0,5,15,2,3,12,-1,17,17,5,15,5,1,15,15,14,15,5,2,8,12,1,8,1,5,15,5,12
boormachine,drill,0,0,0,0,2,1,1,1,-1,11,5,3,11,5,1,2,2,8,5,11,16,15,3,1,3,1,2,6,1,1
breekijzer,crowbar,0,0,0,0,0,15,2,5,-1,18,18,1,6,15,1,5,2,14,1,15,3,6,1,1,15,1,12,12,6,2
engelse sleutel,adjustable spanner,0,0,0,0,0,0,1,1,-1,14,11,1,2,18,1,15,2,1,3,18,2,5,5,1,12,1,15,9,3,6
grasmachine,lawn mower,0,0,0,0,0,0,0,2,-1,12,1,15,6,1,1,3,15,1,3,1,11,1,1,13,1,1,1,1,1,1
hamer,hammer,0,0,0,0,0,0,0,0,-1,5,12,1,12,1,1,2,1,2,2,5,2,15,2,1,15,1,5,7,2,12
houtklem,clamp,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
houweel,pickaxe,0,0,0,0,0,0,0,0,0,0,15,1,11,-1,2,15,1,5,2,15,5,15,15,1,5,1,11,15,2,5
koevoet,crowbar,0,0,0,0,0,0,0,0,0,0,0,1,15,15,2,15,2,5,2,18,11,15,3,1,15,1,11,18,9,2
kruiwagen,wheelbarrow,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,1,1,1,3,15,1,1,1,1,1,1
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,18,15,15,2,15,5,15,5,1,11,1,1,18,2,18
moersleutel,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,2,2,15,5,13,4,1,5,1,15,15,2,5
oliespuit,oil can,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,12,5,1,1,1,1,1,1,1,1,1,1
plamuurmes,filling knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,17,12,2,12,4,1,3,1,5,15,5,11
ploeg,plough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,2,9,2,2,1,1,1,2,2,1,2
schaaf,plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,18,12,17,2,2,3,1,18,14,15
schop,shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,11,2,2,2,1,1,8,1,1
schroevendraaier,screwdriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,5,1,1,1,12,14,2,1
slijpschijf,grinding disc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,1,3,15,2,5
spijker,nail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,11,15,5,8
staalborstel,wire brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,15,5,1,5
stofzuiger,vacuum cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1
tang,tongs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,1,5
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
verfborstel,paint brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6
vijl,file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
waterpas,level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
zaag,saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
