,exemplar ENGLISH,anvil,chisel,axe,drill,crowbar,screw wrench,lawn mower,hammer,spanner,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,moped,vacuum cleaner,tongs,rope,paint brush,file,level,saw
exemplar DUTCH,,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,anvil,0,7,6,4,11,6,2,4,5,6,6,5,7,-1,-1,3,6,3,3,3,3,7,4,3,4,1,5,3,4,5
beitel,chisel,0,0,16,6,16,6,4,13,11,18,19,4,14,-1,-1,14,3,5,6,8,3,6,7,3,16,2,8,16,8,6
bijl,axe,0,0,0,7,16,9,4,9,3,15,17,4,14,-1,-1,8,6,9,11,6,5,8,6,4,12,2,11,8,5,12
boormachine,drill,0,0,0,0,8,4,5,5,3,6,14,5,7,-1,-1,8,6,4,6,14,13,17,4,2,5,1,7,7,7,12
breekijzer,crowbar,0,0,0,0,0,11,6,12,2,17,17,6,17,-1,-1,13,3,13,10,8,15,5,7,6,12,3,7,12,7,6
engelse sleutel,adjustable spanner,0,0,0,0,0,0,7,6,15,11,6,6,11,-1,-1,11,6,4,7,15,6,4,8,3,13,2,3,8,8,8
grasmachine,lawn mower,0,0,0,0,0,0,0,4,2,4,4,13,15,-1,-1,1,14,16,12,8,10,4,3,12,5,1,8,6,8,11
hamer,hammer,0,0,0,0,0,0,0,0,3,8,13,6,6,-1,-1,6,4,4,7,9,9,4,13,6,1,2,8,7,4,3
houtklem,clamp,0,0,0,0,0,0,0,0,0,4,3,4,5,-1,-1,7,4,3,6,3,6,4,3,8,4,3,6,3,5,3
houweel,pickaxe,0,0,0,0,0,0,0,0,0,0,17,9,5,-1,-1,12,14,10,8,11,8,6,7,4,17,3,9,8,4,7
koevoet,crowbar,0,0,0,0,0,0,0,0,0,0,0,6,12,-1,-1,7,6,10,6,9,7,3,6,5,12,4,7,8,5,8
kruiwagen,wheelbarrow,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,-1,4,7,4,6,4,7,1,2,13,3,1,6,2,5,3
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,14,5,11,7,10,16,6,12,3,17,1,7,14,4,14
moersleutel,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oliespuit,oil can,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plamuurmes,filling knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,12,9,15,12,9,7,8,2,14,18,2,7
ploeg,plough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,7,9,8,7,13,9,1,4,6,6,6
schaaf,plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,6,7,15,6,3,7,14,7,-1
schop,shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,6,6,5,2,10,7,5,6
schroevendraaier,screwdriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,6,7,7,3,9,7,4,3
slijpschijf,grinding disc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,13,10,3,6,17,7,9
spijker,nail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,3,9,4,4,4
staalborstel,wire brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,17,11,12,7
stofzuiger,vacuum cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,2,6,4
tang,tongs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,6,5
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1
verfborstel,paint brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4
vijl,file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12
waterpas,level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
zaag,saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
