,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,11,17,10,15,19,9,14,7,13,14,10,12,8,13,16,16,9,9,6,9,15,11,14,19,9
bloedzuiger,leech,0,0,18,14,9,7,10,10,9,17,4,12,9,10,11,18,11,10,9,9,10,6,8,13,10,11
daas,horsefly,0,0,0,14,14,14,15,14,7,15,10,13,12,9,14,19,10,13,11,10,10,15,8,11,16,8
duizendpoot,centipede,0,0,0,0,12,10,14,17,11,13,11,12,11,10,9,10,11,13,12,10,12,10,11,13,8,13
fruitvlieg,fruit fly,0,0,0,0,0,11,9,9,11,13,12,9,13,9,12,17,15,11,11,5,9,18,14,15,17,9
hommel,bumblebee,0,0,0,0,0,0,11,10,10,15,13,8,10,9,11,12,9,9,9,9,9,17,11,9,15,7
kakkerlak,cockroach,0,0,0,0,0,0,0,15,15,11,11,9,10,9,10,10,10,12,13,9,10,10,10,10,8,10
kever,beetle,0,0,0,0,0,0,0,0,12,14,15,11,19,9,9,2,11,12,13,9,11,11,15,11,11,10
krekel,cricket,0,0,0,0,0,0,0,0,0,13,14,9,10,15,9,11,9,10,11,5,14,9,11,9,10,9
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,13,10,13,11,13,16,7,10,11,10,16,15,15,11,12,9
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,9,10,8,13,7,8,9,8,9,13,14,9,10,9,9
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,12,11,14,10,14,16,14,15,10,9,9,19,12,9
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,10,14,8,9,13,13,12,10,10,7
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11,11,8,8,9,9,9,10,9,10
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,15,10,10,11,17,15,15,13,8
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,9,10,11,15,12,18,18,12
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,9,10,12,8,14,10,13
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,12,10,7,12,9,9
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,13,10,9,17
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,11,9,9
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,9,7
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,13,9
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
