,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,7,4,2,11,18,3,5,5,6,4,1,7,5,7,12,5,3,6,4,5,14,5,1,16,1
bloedzuiger,leech,0,0,18,8,6,4,6,6,8,1,6,2,5,3,13,4,8,10,3,7,6,7,2,1,5,2
daas,horsefly,0,0,0,6,15,10,4,8,6,5,5,1,5,6,5,11,9,15,5,5,9,15,9,1,9,2
duizendpoot,centipede,0,0,0,0,4,3,6,11,6,7,9,1,10,10,5,6,12,14,15,6,11,6,4,1,2,6
fruitvlieg,fruit fly,0,0,0,0,0,17,6,6,4,6,6,3,3,6,12,8,6,6,3,3,3,18,5,3,9,1
hommel,bumblebee,0,0,0,0,0,0,5,5,1,6,5,1,11,5,12,8,5,8,4,5,4,12,5,1,18,3
kakkerlak,cockroach,0,0,0,0,0,0,0,4,6,3,4,1,3,2,2,4,10,10,7,5,5,4,3,1,5,5
kever,beetle,0,0,0,0,0,0,0,0,10,3,7,1,19,6,3,3,11,6,4,4,4,5,6,1,4,2
krekel,cricket,0,0,0,0,0,0,0,0,0,3,6,2,10,4,5,2,4,4,2,4,6,3,2,1,3,3
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,3,1,3,5,12,18,5,4,2,15,16,13,7,1,6,1
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,1,7,7,3,5,4,6,2,4,4,6,10,1,3,2
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,17,2,1
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,9,10,2,7,5,3,4,1,5,3
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,6,4,3,2,4,3,3,3,4
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,6,2,14,6,14,11,1,4,2
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,11,10,14,7,3,10,2
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,4,15,9,3,1,4,3
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,6,3,1,5,3
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,10,1,3,10
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,4,3,5,3
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,5,2
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,12,4
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
