,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,9,17,7,12,19,6,7,7,12,10,10,8,10,12,12,5,6,11,7,7,15,14,15,19,8
bloedzuiger,leech,0,0,9,15,10,10,7,12,9,4,8,9,6,17,7,8,9,11,11,11,8,4,5,15,8,15
daas,horsefly,0,0,0,5,17,18,6,6,10,11,5,9,7,6,12,5,4,8,8,5,10,18,5,12,17,4
duizendpoot,centipede,0,0,0,0,6,10,14,12,6,8,10,9,12,6,5,7,12,15,16,8,7,9,5,10,9,14
fruitvlieg,fruit fly,0,0,0,0,0,18,10,14,7,12,7,12,8,10,10,17,5,6,7,6,10,19,15,17,10,5
hommel,bumblebee,0,0,0,0,0,0,4,7,7,14,8,12,7,11,11,10,9,10,8,4,7,18,10,12,17,6
kakkerlak,cockroach,0,0,0,0,0,0,0,18,16,5,12,8,12,9,6,8,8,16,14,10,8,7,11,8,9,11
kever,beetle,0,0,0,0,0,0,0,0,17,6,17,3,19,11,7,10,9,17,10,15,8,13,9,11,14,12
krekel,cricket,0,0,0,0,0,0,0,0,0,10,12,7,17,8,8,11,7,15,11,4,12,13,7,14,7,7
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,13,10,7,8,14,17,10,7,8,12,7,16,9,11,11,10
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,9,12,10,6,5,4,7,10,5,7,10,7,10,7,6
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,12,7,14,6,7,7,10,10,19,9,7
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,10,5,8,7,7,7,7,7,9,11,4
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,12,12,13,3,9,6,10,11,7,15
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,7,11,8,5,9,17,10,13,6
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,10,6,16,14,17,11,4
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,8,7,4,5,7,5,19
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,8,10,17,7,15
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,10,10,10,9
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,10,11,7,5
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,10,8,7
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,14,11
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,10
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
