,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,7,9,12,8,18,10,15,10,12,13,12,15,5,12,15,10,8,13,6,11,2,15,9,17,9
bloedzuiger,leech,0,0,13,8,15,9,10,14,12,14,7,12,15,14,12,15,13,12,13,9,15,10,8,12,13,13
daas,horsefly,0,0,0,12,13,8,10,5,12,5,14,11,6,9,12,12,14,8,9,9,11,8,13,12,12,8
duizendpoot,centipede,0,0,0,0,13,7,12,11,12,6,14,11,11,12,12,16,8,10,10,9,14,7,10,10,7,11
fruitvlieg,fruit fly,0,0,0,0,0,12,18,12,9,16,12,12,16,12,12,16,14,15,5,13,12,17,17,16,15,10
hommel,bumblebee,0,0,0,0,0,0,12,15,11,14,11,12,11,12,8,13,8,7,12,10,13,11,12,11,15,12
kakkerlak,cockroach,0,0,0,0,0,0,0,12,14,12,6,5,15,10,7,13,8,13,6,12,5,12,5,7,10,8
kever,beetle,0,0,0,0,0,0,0,0,14,6,16,9,14,13,14,14,12,13,9,14,14,17,16,12,7,13
krekel,cricket,0,0,0,0,0,0,0,0,0,7,13,12,13,14,12,12,9,12,12,10,12,9,15,14,8,12
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,14,12,14,5,12,17,15,14,14,12,5,9,4,9,14,13
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,10,16,9,13,15,10,9,15,12,12,15,10,12,8,5
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,10,10,12,14,12,15,8,8,15,9,10,15,14,12
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,16,12,12,11,12,9,15,12,11,7,13
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,12,14,7,14,10,10,14,13,9
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,10,6,6,15,12,18,13,12,10
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,12,12,12,16,15,15,15,7
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,10,12,14,11,13,9,12
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,12,9,12,9,10,12
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,13,16,9,14,10
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,10,12,12,8
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,9,8
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,15,9
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,9
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
