,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,4,13,7,10,1,9,11,8,5,10,9,6,15,5,10,12,12,11,17,5,12,3,18,6,10
bloedzuiger,leech,0,0,12,15,4,5,10,12,7,7,8,18,1,1,14,13,12,6,8,3,5,13,5,10,5,2
daas,horsefly,0,0,0,11,15,16,12,4,20,15,12,1,16,4,6,5,12,16,6,8,4,4,4,10,6,14
duizendpoot,centipede,0,0,0,0,8,18,8,8,12,5,4,19,10,15,1,5,11,7,7,12,8,8,10,3,11,11
fruitvlieg,fruit fly,0,0,0,0,0,6,9,8,2,4,4,10,12,9,8,8,6,9,10,10,5,5,10,2,9,12
hommel,bumblebee,0,0,0,0,0,0,6,12,18,10,15,5,5,10,5,12,1,14,11,12,3,11,15,2,9,16
kakkerlak,cockroach,0,0,0,0,0,0,0,4,10,4,10,15,7,12,7,9,9,10,8,6,8,4,14,9,5,10
kever,beetle,0,0,0,0,0,0,0,0,8,10,3,8,4,10,12,10,5,7,12,7,15,7,8,6,15,1
krekel,cricket,0,0,0,0,0,0,0,0,0,5,16,4,12,16,1,9,14,17,5,12,12,19,5,15,9,6
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,2,4,8,9,10,2,13,4,7,3,15,15,9,15,13,15
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,15,8,4,7,9,4,1,7,9,8,3,8,12,10,9
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,14,12,9,9,13,10,15,7,18,8,4,10,8,6
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,18,9,5,11,12,12,4,4,9,4,5
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,12,14,16,8,6,10,12,14,15,12
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,18,11,1,18,11,18,4,10,9
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,10,14,5,2,12,4,8
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,12,3,16,1,11,12
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,11,10,4,3,8
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,12,3,12,5,7
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,1,8,6
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,7,2,5
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,12,5
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,15
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
