,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,10,-1,6,17,19,14,12,16,16,16,5,16,8,11,19,12,9,2,14,11,18,6,10,19,3
bloedzuiger,leech,0,0,-1,3,13,2,14,3,6,2,3,17,2,16,2,9,2,11,2,2,3,6,2,17,6,3
daas,horsefly,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
duizendpoot,centipede,0,0,0,0,10,8,9,13,5,16,3,12,6,11,2,6,16,11,19,17,7,6,13,13,16,3
fruitvlieg,fruit fly,0,0,0,0,0,18,9,16,8,16,17,11,16,9,16,16,3,13,8,13,9,19,14,17,17,5
hommel,bumblebee,0,0,0,0,0,0,13,13,5,16,12,2,16,13,16,13,8,13,12,12,14,18,15,13,19,2
kakkerlak,cockroach,0,0,0,0,0,0,0,18,9,16,17,11,19,8,14,14,6,2,6,2,9,3,10,14,6,3
kever,beetle,0,0,0,0,0,0,0,0,16,13,18,15,18,18,11,16,16,7,9,11,16,16,8,9,14,3
krekel,cricket,0,0,0,0,0,0,0,0,0,11,2,5,14,8,7,6,6,14,14,6,18,14,2,2,13,5
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,2,2,6,8,5,17,16,13,16,13,16,16,16,3,18,16
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,3,16,16,3,16,2,11,9,2,8,16,11,11,11,2
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,12,16,3,17,3,3,14,15,6,10,3,18,3,5
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,5,4,11,13,7,14,17,16,2,16,6
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,16,3,14,16,9,11,11,14,13,9
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,15,6,12,3,16,18,10,9,7
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,6,9,9,19,15,15,16,3
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,9,16,14,2,7,16,13
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,16,14,13,4,8,11
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6,3,3,16,17
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,3,2,11,2
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,6,10,5
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,18,3
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
