,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,9,7,9,11,19,6,7,6,11,8,8,4,6,10,15,4,5,6,9,6,17,11,7,19,6
bloedzuiger,leech,0,0,12,16,7,8,6,8,7,3,5,11,7,9,8,8,6,12,13,8,5,6,4,6,12,6
daas,horsefly,0,0,0,7,13,9,6,8,6,6,4,11,10,8,6,9,9,8,5,5,8,14,8,9,11,14
duizendpoot,centipede,0,0,0,0,4,7,12,7,4,6,9,9,10,9,8,9,12,13,16,11,8,6,8,6,11,12
fruitvlieg,fruit fly,0,0,0,0,0,15,6,7,6,12,8,7,6,6,12,15,8,8,8,8,6,19,12,10,11,7
hommel,bumblebee,0,0,0,0,0,0,6,8,7,9,11,8,9,3,7,12,6,4,8,8,7,16,11,10,18,8
kakkerlak,cockroach,0,0,0,0,0,0,0,9,16,7,7,9,11,8,9,7,11,9,6,9,12,9,3,11,6,6
kever,beetle,0,0,0,0,0,0,0,0,11,3,15,4,19,8,9,6,5,11,10,9,11,7,7,4,7,9
krekel,cricket,0,0,0,0,0,0,0,0,0,8,9,8,11,13,6,6,7,7,6,8,17,6,8,11,5,4
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,10,5,7,7,11,16,9,7,4,9,9,15,10,9,11,8
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,8,14,9,9,7,6,9,6,7,5,12,12,5,7,6
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,9,9,7,5,8,9,7,8,15,6,4
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,6,7,12,3,6,11,5,6,11,8,6
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,12,8,8,4,7,5,13,8,9
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,5,4,8,15,13,13,12,7
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,2,6,6,18,9,12,12,3
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,7,6,7,9,6,10,10
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,9,9,9,9,7
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,8,4,9,17
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,8,8,7,6
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,7,4
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,14,8
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,9
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
