,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,9,9,6,17,18,5,8,7,15,12,8,18,10,10,8,12,14,18,7,6,13,18,15,20,10
bloedzuiger,leech,0,0,18,16,7,8,15,9,12,8,11,15,9,3,15,11,16,13,13,10,13,15,13,10,11,14
daas,horsefly,0,0,0,7,12,12,14,9,11,15,9,19,12,9,20,19,12,14,9,6,14,16,9,19,15,7
duizendpoot,centipede,0,0,0,0,15,10,9,16,10,17,6,9,14,11,4,4,19,13,17,11,17,9,5,14,13,16
fruitvlieg,fruit fly,0,0,0,0,0,9,17,13,13,9,14,13,15,9,18,17,17,6,11,12,11,20,11,18,4,9
hommel,bumblebee,0,0,0,0,0,0,5,13,10,13,8,6,16,5,18,18,4,7,8,10,12,11,11,9,16,1
kakkerlak,cockroach,0,0,0,0,0,0,0,14,16,7,12,12,16,8,15,9,16,16,7,11,14,10,5,13,12,15
kever,beetle,0,0,0,0,0,0,0,0,13,9,19,11,20,16,14,15,7,12,12,10,15,13,5,4,10,12
krekel,cricket,0,0,0,0,0,0,0,0,0,12,12,7,12,7,15,5,8,10,9,11,16,11,7,14,11,15
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,7,13,17,14,10,13,12,12,12,13,11,12,14,12,13,8
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,6,16,5,18,10,9,12,15,5,13,12,16,10,12,5
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,13,9,19,9,6,16,8,13,19,4,4
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,8,12,15,13,9,12,16,12,11,10,11
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,16,12,12,11,11,9,11,8,7,12
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,19,15,9,7,18,15,8,7,8
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,14,19,12,17,12,11,17,8
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,5,5,13,12,12,14,17
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,15,10,7,5,7,11
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,12,13,7,15,18
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,6,7,13,8
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,15,11,8
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,12,4
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
