,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,12,17,14,17,18,14,15,14,17,16,15,16,14,16,17,14,14,14,15,15,17,16,16,17,15
bloedzuiger,leech,0,0,14,16,14,13,17,16,16,15,14,17,16,15,14,14,16,17,16,17,16,15,15,17,14,16
daas,horsefly,0,0,0,15,17,17,14,16,14,17,16,16,16,16,15,17,16,15,15,14,16,17,17,17,17,14
duizendpoot,centipede,0,0,0,0,13,15,16,16,16,15,16,16,14,16,14,14,16,17,16,16,16,14,14,16,14,18
fruitvlieg,fruit fly,0,0,0,0,0,17,15,15,15,17,16,16,16,14,16,17,15,14,14,16,14,18,17,17,17,14
hommel,bumblebee,0,0,0,0,0,0,15,16,15,17,15,15,16,14,17,16,14,15,15,14,15,18,17,16,18,13
kakkerlak,cockroach,0,0,0,0,0,0,0,17,16,15,14,16,16,16,15,15,16,17,16,17,16,14,14,15,14,12
kever,beetle,0,0,0,0,0,0,0,0,16,14,14,15,17,16,15,14,18,17,16,15,16,13,16,14,15,14
krekel,cricket,0,0,0,0,0,0,0,0,0,16,16,16,16,16,15,16,16,16,16,15,19,15,16,12,14,16
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,17,15,16,16,17,18,15,14,16,16,16,17,17,18,17,13
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,16,17,15,16,16,14,16,15,15,15,17,16,16,15,14
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,16,17,16,16,15,16,15,15,15,16,14,19,16,14
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,14,16,16,15,16,16,17,16,15,16,15
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,17,16,16,16,15,16,16,14,14,14
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,15,14,14,15,17,17,16,16,14
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,16,14,16,17,17,17,16,14
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,16,17,15,15,15,15,16
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,16,15,14,15,14,16
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,14,16,14,15,18
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,14,15,14,16
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,17,15,15
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,17,14
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,15
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
