,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,1,-1,1,11,18,1,1,1,12,1,1,12,1,1,15,1,1,1,1,1,11,1,1,19,1
bloedzuiger,leech,0,0,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,1,20,1,1,1
daas,horsefly,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
duizendpoot,centipede,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,18,12,1,1,1,1,1,1,1,16
fruitvlieg,fruit fly,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,17,1,14,1,1
hommel,bumblebee,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,17,1
kakkerlak,cockroach,0,0,0,0,0,0,0,1,1,1,1,1,3,1,1,1,1,15,1,1,1,1,1,1,1,1
kever,beetle,0,0,0,0,0,0,0,0,1,1,15,1,17,1,1,1,1,15,1,1,1,1,1,1,1,1
krekel,cricket,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,12,1,1,1,1,2,1,18,1,1,1
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,13,1,1,1,1,1,1,12,1,1,1
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,19,1,1
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,1,1,1,2,1,1,1,1
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,11,1,1,1,1
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,19,10,1,14,1
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,1,1,1,1,1,1,12
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,16
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,14,1
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
