,exemplar ENGLISH,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,cockchafer,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm
exemplar DUTCH,,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheerbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,bee,0,10,12,10,13,19,10,10,14,11,10,10,10,10,12,12,10,10,10,10,10,10,11,9,20,10
bloedzuiger,leech,0,0,11,10,10,10,12,12,10,10,10,5,12,10,10,12,17,14,17,10,10,10,7,10,10,15
daas,horsefly,0,0,0,10,13,12,11,13,11,17,10,9,13,16,10,17,16,14,11,13,11,17,11,10,13,10
duizendpoot,centipede,0,0,0,0,10,10,10,11,11,10,12,9,12,10,11,10,14,14,19,10,12,11,10,9,10,15
fruitvlieg,fruit fly,0,0,0,0,0,11,9,10,11,14,12,15,10,13,12,18,10,10,10,13,10,18,10,12,13,10
hommel,bumblebee,0,0,0,0,0,0,10,10,10,10,10,9,10,10,10,11,10,11,10,10,10,15,15,9,19,10
kakkerlak,cockroach,0,0,0,0,0,0,0,16,17,10,10,9,16,10,10,10,14,15,13,10,13,10,11,9,9,11
kever,beetle,0,0,0,0,0,0,0,0,14,10,15,9,18,12,12,10,15,14,12,16,10,10,10,9,11,10
krekel,cricket,0,0,0,0,0,0,0,0,0,14,10,10,13,11,13,14,12,10,10,14,18,13,15,11,12,10
libel,dragonfly,0,0,0,0,0,0,0,0,0,0,10,10,10,10,14,19,10,10,14,18,15,15,14,9,11,10
lieveheerbeestje,ladybug,0,0,0,0,0,0,0,0,0,0,0,8,13,16,9,10,12,14,12,11,10,10,11,9,10,10
luis,louse,0,0,0,0,0,0,0,0,0,0,0,0,10,12,9,9,10,9,9,11,10,10,8,19,9,4
meikever,cockchafer,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,10,14,14,13,12,10,11,10,9,10,1
mier,ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,12,12,10,13,13,12,10,12,10,10
mot,moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,10,11,12,11,11,19,9,11,10
mug,mosquito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,10,16,17,18,13,10,11,10
oorworm,earwig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,10,10,12,9,9,10,13
pissebed,wood louse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,12,12,10,9,12,12
rups,caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,10,15,10,12,15
spin,spider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,13,10,10,10
sprinkhaan,grasshopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,9,11,10
vlieg,fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,16,10
vlinder,butterfly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,10
vlo,flee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
wesp,wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
worm,worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
