,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,7,12,8,10,11,7,5,9,16,13,6,14,16,8,12,18,9,11,9,6,15,17,4,12,7,12,11,13,12,11,8,11
bord,plate,0,0,9,9,11,11,13,8,14,8,8,18,11,13,6,6,6,17,9,17,8,14,11,4,11,13,12,16,13,8,15,14,13
broodrooster,toaster,0,0,0,8,15,12,6,4,10,11,15,7,5,9,17,13,8,8,17,12,8,15,7,4,7,7,7,15,9,16,17,9,8
fles,bottle,0,0,0,0,7,12,18,8,14,6,14,18,7,8,8,9,4,4,7,12,18,5,5,4,8,16,4,12,8,17,9,12,9
fornuis,stove,0,0,0,0,0,17,6,8,4,9,14,8,5,5,17,13,8,2,19,11,4,7,4,4,4,5,4,7,4,12,14,12,14
frigo,fridge,0,0,0,0,0,0,9,4,15,7,14,11,8,8,16,15,9,4,16,5,11,9,6,2,5,8,4,9,7,11,12,9,6
glas,glass,0,0,0,0,0,0,0,7,15,6,10,16,11,11,8,7,4,4,7,14,13,9,9,1,13,19,11,14,9,17,9,12,14
handdoek,towel,0,0,0,0,0,0,0,0,4,8,4,9,9,8,4,4,4,15,4,4,7,8,7,4,9,6,9,7,9,7,9,4,11
ketel,kettle,0,0,0,0,0,0,0,0,0,11,14,18,4,11,14,12,4,4,12,18,19,6,9,4,5,12,8,18,13,17,11,18,16
klopper,whisk,0,0,0,0,0,0,0,0,0,0,12,12,17,16,11,19,15,4,5,12,8,12,17,5,17,8,17,11,18,7,15,10,9
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,11,9,7,14,16,12,8,12,12,17,11,11,4,8,14,6,14,7,18,12,7,12
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,12,12,8,14,6,10,11,18,18,11,7,4,12,16,5,17,8,12,17,18,17
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,16,13,8,4,8,9,12,17,9,18,13,19,4,18,6,8,11,10
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,12,6,8,6,11,18,6,13,15,4,5,19,4,5,8,8
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,4,18,12,11,7,7,4,6,11,2,9,9,14,12,12,5
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,8,12,16,13,4,15,8,11,8,15,15,12,9,13
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,4,16,16,4,16,5,14,6,11,12,9,9,11
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,4,8,3,7,10,6,4,9,4,4,4,11
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,8,4,4,4,5,8,11,9,11,11,11,9
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,7,4,8,16,12,17,9,15,15,19,15
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,5,10,16,9,16,10,17,17,17,18
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,13,11,11,16,12,7,12,10,18
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,7,13,6,18,8,6,8,10
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,9,17,7,5,8,12
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,15,11,16,10,9
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,4,7,9,11
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,17,17,19
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,11
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,9
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
