,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,3,1,5,3,2,2,2,2,5,1,4,3,5,1,3,7,2,1,4,15,2,6,2,3,1,1,3,4,2,1,1,1
bord,plate,0,0,2,6,7,3,9,3,1,3,1,5,8,6,6,1,1,2,2,5,8,5,5,3,1,6,5,2,7,2,1,4,2
broodrooster,toaster,0,0,0,2,5,2,2,1,2,1,3,1,1,3,3,1,1,5,10,3,1,2,1,2,1,1,2,1,2,4,1,2,1
fles,bottle,0,0,0,0,1,5,6,2,6,2,4,2,4,6,1,1,1,6,1,3,3,1,3,1,5,3,3,2,3,3,3,1,1
fornuis,stove,0,0,0,0,0,7,2,5,10,3,4,3,3,4,10,4,1,4,15,9,9,2,2,6,3,4,2,3,4,3,2,4,2
frigo,fridge,0,0,0,0,0,0,4,2,1,4,2,4,6,1,7,3,1,1,12,4,4,1,1,3,1,1,2,2,3,3,1,3,1
glas,glass,0,0,0,0,0,0,0,3,3,3,1,6,6,4,2,3,3,9,3,6,11,1,1,2,1,9,5,1,8,6,1,4,3
handdoek,towel,0,0,0,0,0,0,0,0,6,2,2,6,3,1,3,3,1,3,15,3,5,1,2,8,3,2,4,2,1,5,1,2,1
ketel,kettle,0,0,0,0,0,0,0,0,0,2,8,2,2,4,8,3,1,1,9,4,13,5,1,1,2,4,7,1,1,17,1,10,2
klopper,whisk,0,0,0,0,0,0,0,0,0,0,2,8,15,4,5,17,1,2,1,4,3,2,3,5,17,1,8,4,9,1,1,5,3
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,3,5,1,2,4,1,6,1,2,2,2,1,1,2,3,6,3,2,1,1,3,1
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,2,5,7,17,20,3,4,4,7,15,2,8,5,5,1,13,4
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,5,3,3,6,5,3,3,3,10,10,12,2,8,2,1,3,3
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,4,5,6,15,1,8,6,2,2,10,3,1,3,2
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,10,4,2,1,1,5,1,1,1,1,2,1,1,1,2
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,4,2,3,3,1,9,1,3,3,8,2,1,2,2
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,4,2,1,1,1
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,2,1,1,3,2,3,1,3,1,1,8,2
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,1,6,4,4,2,3,3,2,1,3,2
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,3,2,5,4,1,4,8,4,1,13,6
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,9,4,7,8,2,4,1,15,4
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,1,1,5,3,2,1,3,15
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,3,1,1,1,5
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,1,5,4
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,12,2,1,5,3
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,8,1,4,1
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,15,1,3,2
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,4,18
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
