,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,9,10,2,3,6,4,1,1,10,2,7,1,11,4,7,2,11,7,1,6,1,2,1,2,1,1,6,7,11,1,2,2
bord,plate,0,0,15,7,4,9,9,6,1,11,8,7,1,10,7,1,1,6,9,5,12,3,1,12,4,3,1,2,18,4,1,8,9
broodrooster,toaster,0,0,0,2,6,1,1,4,1,10,2,1,1,2,6,1,4,10,1,5,6,1,1,10,1,3,1,1,9,5,2,4,1
fles,bottle,0,0,0,0,10,12,13,1,12,6,10,7,13,17,2,2,1,2,1,3,5,1,1,4,10,9,10,1,8,3,9,2,10
fornuis,stove,0,0,0,0,0,8,1,1,1,8,2,1,1,1,8,3,2,7,4,1,4,1,1,7,1,3,1,1,8,6,1,8,1
frigo,fridge,0,0,0,0,0,0,1,1,1,3,1,6,3,1,15,9,1,1,9,1,2,1,1,7,5,1,1,5,6,5,1,4,1
glas,glass,0,0,0,0,0,0,0,8,3,6,2,4,9,8,1,1,8,7,1,6,1,14,10,1,9,18,1,3,7,1,10,6,7
handdoek,towel,0,0,0,0,0,0,0,0,2,7,2,4,1,1,1,1,6,3,1,10,3,8,7,5,7,3,2,4,8,4,4,10,1
ketel,kettle,0,0,0,0,0,0,0,0,0,9,8,9,16,9,2,1,4,8,3,1,2,7,2,1,10,4,14,1,8,6,7,3,10
klopper,whisk,0,0,0,0,0,0,0,0,0,0,10,11,9,1,5,8,10,12,9,1,9,2,7,10,4,2,3,2,7,9,4,10,3
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,16,9,1,2,6,6,8,1,2,1,4,1,9,1,2,5,8,1,8,1,1,8
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,7,8,3,3,2,2,7,8,13,1,4,9,5,10,1,1,11,10,1,16,1
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,1,10,5,3,7,1,4,3,14,6,19,9,8,8,7,1,10
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,1,6,6,9,5,1,1,6,9,2,1,9,2,9,8,11
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,7,1,3,5,1,6,2,1,2,2,9,1,1,1,1
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,4,1,4,1,1,1,7,1,6,3,4,5,1,1
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,6,5,5,6,1,3,1,1,2,15,2,8,1
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,9,5,2,7,1,6,3,1,2,1,4,3,9
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,1,9,4,5,1,7,12,10,1,11,3
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,1,1,14,4,1,4,6,3,9,8
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,13,9,10,1,6,11,5,1,15,2
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,10,9,1,1,1,2,8,5,8
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,9,1,3,4,8,9,3,6
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,2,10,6,2,9,3
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,3,3,7,8,1,4
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,11,7,9,1
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,10,1,10
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,2,4
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,13,1
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,1
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
