,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,3,3,6,4,4,5,1,2,10,5,2,8,14,5,10,3,4,1,4,3,2,13,5,2,1,2,2,9,4,5,2,8
bord,plate,0,0,3,1,2,1,10,5,12,2,2,18,10,4,1,5,1,4,3,13,10,2,6,5,2,8,8,15,5,3,3,10,1
broodrooster,toaster,0,0,0,2,3,12,1,3,3,2,10,1,4,2,1,10,2,3,14,9,1,2,3,1,2,3,2,3,2,12,3,4,3
fles,bottle,0,0,0,0,5,3,16,3,10,6,3,10,3,4,4,10,4,3,1,2,3,2,1,2,3,13,3,4,2,10,2,6,2
fornuis,stove,0,0,0,0,0,14,4,8,12,4,12,1,3,1,15,4,6,5,16,12,13,2,3,2,3,2,3,4,2,15,1,2,2
frigo,fridge,0,0,0,0,0,0,5,2,12,1,1,1,4,1,18,10,2,3,14,4,8,2,4,1,1,4,1,5,4,12,2,4,3
glas,glass,0,0,0,0,0,0,0,2,4,4,12,18,6,2,3,2,3,2,4,12,12,2,6,5,2,19,3,2,8,2,2,3,3
handdoek,towel,0,0,0,0,0,0,0,0,3,4,3,4,2,4,2,4,5,2,1,4,5,2,2,6,3,1,2,2,1,10,1,3,1
ketel,kettle,0,0,0,0,0,0,0,0,0,3,17,10,16,1,10,10,3,1,12,12,20,1,1,1,2,14,4,14,6,4,4,16,2
klopper,whisk,0,0,0,0,0,0,0,0,0,0,10,2,18,13,15,20,5,3,2,2,4,6,2,2,12,3,3,2,18,2,8,2,2
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,12,4,5,12,10,2,3,4,1,13,3,1,2,3,12,10,1,2,18,2,5,4
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,8,2,3,4,12,18,3,3,4,3,20,6,18,2,12,2,18,12
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,15,2,1,2,9,6,2,10,3,19,1,20,2,18,1,3,4,5
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,3,2,4,2,2,18,4,12,3,13,3,19,2,3,1,2
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,19,16,3,2,2,3,1,8,3,2,4,16,4,10,3
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,1,1,5,3,3,19,4,1,5,9,7,8,2,2
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,3,14,2,2,2,3,7,3,2,1,4,2
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,14,3,5,1,2,1,1,2,1,3,6,1
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,1,3,2,2,1,3,4,1,12,4,15,3
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,3,6,5,2,3,15,2,14,1,16,2
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,16,2,14,2,14,1,14,3
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,4,1,10,4,2,1,1
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,1,8,1,6,3,4
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,5,2,7,1,5,2
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,17,2,3,3,5
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,4,12,3
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,10,2,4,6
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,14,18
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,7
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
