,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,3,2,4,4,5,5,2,6,12,3,3,15,4,4,3,2,5,2,4,2,2,3,2,5,4,4,4,3,1,2,2,4
bord,plate,0,0,2,4,14,2,2,2,5,3,5,2,5,3,3,4,4,4,4,5,5,15,2,2,2,3,2,3,4,2,5,2,3
broodrooster,toaster,0,0,0,3,6,15,2,8,4,1,2,2,5,2,1,2,5,2,2,5,5,5,2,2,4,2,1,8,4,5,2,10,5
fles,bottle,0,0,0,0,10,5,3,4,3,5,3,5,2,3,4,5,2,5,2,2,4,3,3,5,4,4,5,3,5,5,2,2,3
fornuis,stove,0,0,0,0,0,3,5,5,10,3,4,4,4,3,2,5,3,2,15,2,15,4,2,5,5,5,2,5,3,5,4,5,5
frigo,fridge,0,0,0,0,0,0,5,2,3,5,2,2,2,2,18,2,5,2,18,15,5,4,3,4,3,10,5,5,2,2,5,2,2
glas,glass,0,0,0,0,0,0,0,2,5,3,5,3,4,4,3,5,1,6,4,4,4,4,2,4,5,5,2,3,5,15,4,4,2
handdoek,towel,0,0,0,0,0,0,0,0,2,3,2,6,5,2,6,5,3,15,5,4,3,2,4,3,4,2,2,3,3,2,5,5,3
ketel,kettle,0,0,0,0,0,0,0,0,0,5,15,3,1,3,5,5,8,5,15,3,15,4,5,3,2,3,2,4,4,4,5,6,2
klopper,whisk,0,0,0,0,0,0,0,0,0,0,4,3,10,5,2,2,5,3,5,3,2,5,2,2,15,2,5,3,15,2,5,4,4
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,12,5,2,12,2,2,3,2,3,4,3,2,2,3,5,2,5,4,3,2,4,6
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,15,3,4,4,2,15,2,5,2,10,5,5,12,2,3,4,3,10
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2,2,4,4,5,6,4,10,10,2,2,19,2,18,5,2,2,4
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,3,4,5,5,15,6,10,3,3,3,3,2,3,3,5
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,16,15,4,4,2,4,1,2,5,3,5,3,2,12,2
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,4,4,3,3,5,2,4,6,14,15,5,5,15
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,4,6,5,3,5,2,2,2,5,4,1,3,4
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,3,3,2,2,2,3,4,5,5,10,5,3
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,4,2,10,2,2,2,5,5,2,15,3,2
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,2,2,2,2,2,5,5,10,2,5,5
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,4,5,4,3,2,15,4,15,3
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,2,4,3,3,3,5,3,3
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,3,12,4,2,3,5
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,5,4,10,2,2,2
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,5,5,5,3,4,2
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,18,1,12,5
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,2,5,4
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,6,4
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,15
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
