,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,6,4,7,2,5,4,3,3,7,5,2,9,11,4,14,15,5,5,3,5,4,14,1,9,2,12,2,14,1,12,4,4
bord,plate,0,0,4,4,5,2,4,2,5,2,5,11,14,11,7,6,4,12,5,12,11,6,2,4,5,10,6,12,7,2,12,11,4
broodrooster,toaster,0,0,0,2,8,8,2,4,4,5,5,2,2,6,11,3,4,2,4,7,2,4,5,2,4,4,2,4,4,11,6,5,2
fles,bottle,0,0,0,0,2,4,9,6,4,2,5,6,3,2,4,5,4,5,4,4,12,2,5,2,5,13,2,5,4,12,4,5,3
fornuis,stove,0,0,0,0,0,11,3,4,12,2,9,2,3,4,12,3,7,6,12,9,9,7,4,3,7,4,2,2,3,11,2,5,5
frigo,fridge,0,0,0,0,0,0,4,2,2,2,5,2,5,4,14,4,2,4,10,3,7,4,6,4,2,4,5,4,2,14,6,4,5
glas,glass,0,0,0,0,0,0,0,5,5,3,12,10,5,7,12,4,5,4,5,4,14,5,2,2,1,17,4,3,7,10,4,3,2
handdoek,towel,0,0,0,0,0,0,0,0,4,5,7,5,3,2,4,3,2,14,2,4,3,2,2,17,5,2,4,4,4,7,2,4,4
ketel,kettle,0,0,0,0,0,0,0,0,0,4,13,15,4,2,7,4,2,3,14,15,15,5,3,4,3,2,4,6,1,17,5,13,7
klopper,whisk,0,0,0,0,0,0,0,0,0,0,6,3,14,12,3,16,10,2,5,6,2,5,8,5,13,6,11,10,15,3,10,6,5
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,11,7,2,11,2,3,4,10,4,15,5,3,7,4,10,11,12,2,14,5,2,15
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,8,4,5,4,14,14,9,2,3,3,11,9,12,2,6,9,14,9
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,10,14,4,1,12,4,10,11,2,16,10,18,4,18,1,9,5,7
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,2,3,5,4,4,15,5,12,4,15,5,17,4,5,5,3
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,15,5,2,3,4,5,4,11,2,3,3,15,7,5,3
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,5,6,5,10,3,8,6,2,4,12,9,9,2,5
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,3,9,14,3,8,4,5,3,7,5,9,6,4
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,2,2,5,4,2,3,5,2,4,7,3,3
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,6,4,5,2,5,6,5,2,9,4,7,4
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,3,6,5,3,11,10,6,8,6,16,9
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,12,10,12,3,11,4,11,4
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,4,8,12,9,6,3,6,15
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,5,2,15,4,5,2,6
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,2,2,1,4,9
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,13,5,5,15,5
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4,12,5,7,3
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,2,4,4
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,6,16
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,8
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
