,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,3,5,4,3,3,4,3,11,8,4,3,6,9,4,8,3,12,5,2,2,7,7,4,3,1,3,4,3,8,6,6,11
bord,plate,0,0,4,3,8,8,4,6,4,3,3,8,5,9,9,3,3,8,2,6,7,8,2,6,1,7,9,8,7,18,11,4,9
broodrooster,toaster,0,0,0,5,3,6,3,11,7,2,5,3,4,4,5,3,3,9,5,9,2,3,6,4,4,13,3,3,5,3,9,4,3
fles,bottle,0,0,0,0,4,14,13,5,2,5,12,3,4,3,4,10,2,4,7,2,10,5,5,4,5,2,3,9,6,8,9,4,5
fornuis,stove,0,0,0,0,0,11,4,6,14,3,11,2,2,8,12,2,4,5,9,12,10,7,9,8,2,1,3,2,2,4,3,6,3
frigo,fridge,0,0,0,0,0,0,7,10,7,1,12,4,3,4,7,8,17,6,7,6,6,1,3,3,3,1,4,4,3,2,1,8,3
glas,glass,0,0,0,0,0,0,0,9,10,4,16,5,6,2,2,12,3,5,7,5,4,4,1,5,2,3,4,11,4,4,3,9,13
handdoek,towel,0,0,0,0,0,0,0,0,2,8,8,3,3,2,4,2,3,5,6,9,6,7,2,10,9,8,6,4,17,8,2,5,14
ketel,kettle,0,0,0,0,0,0,0,0,0,3,5,5,2,3,12,3,7,4,7,10,7,4,4,10,4,14,5,6,4,15,3,5,3
klopper,whisk,0,0,0,0,0,0,0,0,0,0,3,7,7,3,2,11,11,12,5,12,3,5,7,4,8,13,3,6,2,5,2,2,2
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,8,8,7,5,10,6,5,15,9,8,7,3,12,2,1,8,8,11,3,3,2,5
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,5,10,8,3,9,2,8,6,4,4,9,7,4,4,10,4,6,3
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,15,13,7,5,3,6,8,4,9,13,11,15,6,5,7,3,6,5
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,4,8,5,3,2,8,7,4,5,3,8,2,3,3,3,5,6
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,12,9,8,4,5,3,4,8,5,12,5,7,7,3,4
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,5,7,7,9,10,17,4,6,7,2,2,4,3,3
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,6,9,2,6,12,3,6,5,9,12,5,5
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9,6,4,7,10,12,8,9,3,10,12,3,1
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2,5,7,2,1,7,3,4,6,8,8,4
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,2,6,5,2,3,9,6,4,5,12,4
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,6,9,9,6,3,6,4,9,11
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,3,2,6,4,3,3,3,8
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15,8,6,7,16,3,11,3
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,16,3,3,3,7,3,4
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,8,6,3,3,6,4
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,5,7,7,9,3
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,14,5,5
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,3,5,2
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,3
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
