,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,4,4,11,12,12,8,5,4,12,15,18,13,17,16,10,14,16,17,7,4,12,2,7,7,6,6,12,13,13,11,2,6
bord,plate,0,0,16,15,11,14,12,8,10,7,14,20,15,18,16,15,7,15,14,15,15,7,11,10,3,18,15,18,18,4,12,11,14
broodrooster,toaster,0,0,0,12,15,11,8,17,18,8,16,17,14,17,14,14,15,15,18,16,15,17,9,13,7,10,4,8,12,18,3,1,13
fles,bottle,0,0,0,0,18,15,18,12,7,9,6,13,8,18,3,16,18,13,6,5,15,7,3,6,6,4,12,9,4,14,4,16,1
fornuis,stove,0,0,0,0,0,17,15,8,17,14,18,13,2,17,19,15,7,3,20,18,7,8,9,14,14,8,2,14,10,17,4,20,4
frigo,fridge,0,0,0,0,0,0,16,17,4,5,9,7,1,8,19,12,4,2,18,14,7,3,12,4,13,1,6,7,5,2,9,12,2
glas,glass,0,0,0,0,0,0,0,10,15,10,9,15,6,18,9,3,14,14,5,12,14,8,12,12,11,20,12,9,9,17,12,17,5
handdoek,towel,0,0,0,0,0,0,0,0,16,4,8,14,16,17,2,7,8,1,16,2,4,5,5,14,3,2,18,11,9,4,14,6,13
ketel,kettle,0,0,0,0,0,0,0,0,0,15,15,16,7,14,14,2,4,4,18,17,20,16,11,1,16,15,18,4,15,18,12,9,10
klopper,whisk,0,0,0,0,0,0,0,0,0,0,2,14,14,13,9,19,16,16,10,6,8,14,3,12,16,12,14,12,16,9,8,6,6
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,15,14,6,17,16,14,6,12,8,11,4,4,17,14,18,17,7,17,15,16,10,17
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,18,15,8,18,6,8,14,5,14,5,8,8,12,17,2,11,12,16,17,15,16
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,15,8,14,3,3,13,15,6,2,19,15,19,7,19,14,4,16,5
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,6,5,14,17,8,14,17,12,6,17,16,8,20,4,13,11,19
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,6,18,14,12,5,7,3,4,15,7,8,2,10,10,12,6
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,17,16,13,12,4,8,11,7,8,3,15,12,6,2,11
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,14,11,8,12,17,6,7,15,2,14,16,14,5,2
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,17,15,6,2,5,14,10,8,4,5,7,7,2
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,8,14,19,18,7,12,7,19,16,18,13,1
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,11,5,16,12,14,7,14,15,2,16,5
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,15,16,16,1,15,17,5,8,17,13
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,14,2,4,15,13,14,16,11,18
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,4,1,6,2,14,7,4
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,4,10,3,9,6,8,1
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,16,16,4,6,15,6
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,15,18,9,8,2
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,18,18,5,6
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,15,15,17
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,16,10
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,4
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
