,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,2,2,9,2,2,1,2,2,2,3,2,3,2,3,5,2,1,1,1,3,1,4,5,2,5,1,2,6,4,2,5,1
bord,plate,0,0,2,6,2,2,3,2,2,2,1,4,12,10,3,3,3,3,1,1,5,1,4,2,1,1,5,5,2,2,2,5,2
broodrooster,toaster,0,0,0,2,2,5,3,2,1,5,6,3,4,1,5,4,2,3,15,12,1,1,1,2,3,7,6,2,1,19,1,2,4
fles,bottle,0,0,0,0,3,4,3,1,6,2,3,2,1,3,6,4,5,5,2,2,1,5,6,1,1,3,6,3,1,2,2,3,1
fornuis,stove,0,0,0,0,0,1,4,4,1,4,3,5,4,1,6,1,2,2,5,9,6,2,2,6,1,3,5,6,5,12,6,1,1
frigo,fridge,0,0,0,0,0,0,4,5,1,3,1,1,2,1,6,4,1,1,3,2,5,2,2,3,8,3,3,4,2,6,2,6,4
glas,glass,0,0,0,0,0,0,0,2,1,2,3,2,4,5,3,3,2,3,2,6,2,3,2,5,2,1,1,2,2,3,3,5,1
handdoek,towel,0,0,0,0,0,0,0,0,3,1,2,3,5,1,4,3,2,5,1,1,1,3,3,12,1,3,1,1,1,3,3,4,2
ketel,kettle,0,0,0,0,0,0,0,0,0,3,5,2,4,3,10,2,1,2,1,3,19,2,3,3,1,10,1,3,1,8,4,15,2
klopper,whisk,0,0,0,0,0,0,0,0,0,0,2,3,1,3,2,20,1,2,1,3,5,1,1,5,1,2,2,3,2,5,3,2,3
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,7,3,5,2,5,19,3,1,1,3,14,2,17,2,2,2,2,1
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,9,3,2,2,14,1,6,2,3,1,18,4,1,2,5,5,2,6
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,3,2,1,2,2,2,4,15,19,1,17,6,6,4,2
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,3,2,1,3,3,2,9,1,4,1,6,1,2,1,1
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,18,2,4,2,1,1,6,3,1,1,3,5,4,1,2
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,14,3,2,3,1,1,2,2,1,2,4,3,6,3
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,5,1,4,4,1,2,1,2,1,1,4
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,1,3,3,2,5,3,2,4,3,2,4,2
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,5,3,6,3,3,1,2,3,2,1,2,4
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,3,3,2,1,4,3,8,9,5,6
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,4,6,3,3,1,6,1,1,1
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,4,3,6,2,6,6,2,13
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,2,3,2,1,3
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,1,1,1,1,4
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,1,5,3,1,5
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,1,1,6,2
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,2,8,5
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,1,20
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,9,5
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
