,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,8,3,1,1,1,2,1,1,17,5,6,11,12,1,11,16,5,1,5,10,4,15,1,2,1,11,1,8,2,2,5,3
bord,plate,0,0,1,1,1,1,4,1,2,1,1,17,2,7,2,2,3,18,1,8,10,3,1,1,1,3,10,15,5,1,2,14,6
broodrooster,toaster,0,0,0,1,7,6,1,2,4,1,10,1,2,8,11,6,4,2,6,1,1,1,1,1,1,1,5,2,1,3,1,1,8
fles,bottle,0,0,0,0,1,5,14,1,5,1,4,1,2,9,1,1,1,1,1,1,2,1,4,1,1,5,1,8,9,12,1,1,2
fornuis,stove,0,0,0,0,0,11,1,1,12,2,6,1,1,1,12,1,1,1,11,9,7,1,1,1,1,1,1,1,1,6,1,5,1
frigo,fridge,0,0,0,0,0,0,1,1,5,1,1,1,1,2,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
glas,glass,0,0,0,0,0,0,0,1,2,11,8,13,8,4,1,1,1,1,1,1,5,5,5,5,1,14,1,1,6,1,1,1,5
handdoek,towel,0,0,0,0,0,0,0,0,1,5,1,2,1,1,6,1,4,1,1,1,11,1,1,12,5,1,1,1,1,1,1,1,3
ketel,kettle,0,0,0,0,0,0,0,0,0,3,8,8,1,4,10,1,1,5,6,7,15,3,2,1,1,10,1,15,1,7,1,10,4
klopper,whisk,0,0,0,0,0,0,0,0,0,0,1,4,14,7,1,17,13,4,1,6,10,8,12,1,18,1,8,4,8,4,1,4,5
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,8,5,1,3,3,1,1,4,1,10,2,1,1,1,10,1,6,1,16,1,2,1
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,8,5,11,7,8,12,1,1,2,1,12,1,18,1,1,4,9,18
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,10,3,1,1,5,2,5,13,4,17,16,18,1,18,1,1,4,3
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,1,1,1,5,6,16,1,16,10,16,1,18,1,1,2,1
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18,1,11,5,2,1,1,11,1,7,1,8,1,2,1
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,3,11,12,1,14,1,5,1,10,1,1,1,7
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,16,1,8,1,5,2,3,1,1,2,3
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,2,1,1,2,1,1,1,1,4,2,3,4
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,1,1,1,1,1,10,1,1,1
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,5,1,1,2,1,10,6,4,6,18,14
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,2,14,9,8,7,17,11
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,6,1,11,12,8,1,2,15
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,10,5,1,8,1,1,1,1
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,16,1,1,2,1
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,5,1,5,2
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,1,1,5
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5,18
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
