,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,1,1,11,3,1,1,3,2,3,2,2,2,15,1,3,10,1,1,2,1,5,15,2,2,1,1,5,10,2,2,1,2
bord,plate,0,0,5,3,1,2,5,1,5,1,2,8,2,2,2,1,2,1,1,8,8,1,1,2,1,2,2,3,6,1,3,5,2
broodrooster,toaster,0,0,0,2,2,2,2,2,3,3,2,4,1,1,1,2,2,2,3,2,2,2,1,2,3,2,2,1,1,5,2,1,1
fles,bottle,0,0,0,0,1,1,8,1,8,1,5,8,2,5,2,1,1,1,2,6,8,1,2,1,3,11,1,2,3,1,1,3,2
fornuis,stove,0,0,0,0,0,5,2,5,2,2,2,2,1,2,5,1,1,1,17,9,9,2,1,2,2,2,2,2,5,14,2,8,3
frigo,fridge,0,0,0,0,0,0,2,1,5,3,2,5,2,1,8,3,1,1,3,5,2,4,1,1,1,2,1,1,1,2,5,3,1
glas,glass,0,0,0,0,0,0,0,2,5,2,2,8,2,1,1,2,1,1,2,1,8,1,3,3,1,18,2,2,5,3,2,3,1
handdoek,towel,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,2,2,1,2,1,3,15,2,1,1,2,1,2,1,1,1
ketel,kettle,0,0,0,0,0,0,0,0,0,5,2,3,8,2,2,2,1,2,9,2,15,2,1,1,2,1,4,9,1,3,3,2,2
klopper,whisk,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,18,2,2,1,1,3,1,5,2,3,2,5,1,5,2,1,1,5
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,2,2,2,5,2,5,3,1,3,1,15,2,2,1,18,2,3,2
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,2,8,12,17,2,1,1,2,2,3,2,1,5,2,17,2
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,3,2,2,2,1,1,2,2,5,2,15,2,3,1,3,2,2
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,2,2,2,14,17,1,2,2,2,1,5,1,1,3,2
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18,4,5,2,1,2,1,2,2,1,1,14,1,5,2
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,5,1,2,2,2,1,2,2,2,3,1,2
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,3,1,2,1,5,11,2,1,1
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,2,2,1,3,2,2,2,2,2
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,2,2,2,1,2,1,10,3,3,1
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,1,2,2,7,2,2,3,2,2,17,1
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,5,2,5,1,3,8,18,3
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,3,2,1,1,1,3
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,3,5,1,1,2,1
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1,1,2,1
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,9,1,1,2,2
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,2,2,8,2
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,1,1
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,14,4
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,2
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
