,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,12,1,3,8,1,2,1,11,3,10,9,3,3,6,1,13,3,4,6,2,2,1,5,2,6,2,6,5,14,2,3,5
bord,plate,0,0,7,3,10,3,4,8,3,4,4,4,12,10,6,5,1,1,3,16,9,5,2,5,4,5,8,3,15,10,14,15,6
broodrooster,toaster,0,0,0,1,4,6,1,1,8,6,9,6,6,1,4,1,3,2,2,12,7,3,6,3,2,1,5,3,1,3,1,6,5
fles,bottle,0,0,0,0,1,4,10,6,10,4,15,12,2,1,1,5,4,5,3,10,10,3,3,1,7,7,5,1,5,3,3,5,9
fornuis,stove,0,0,0,0,0,10,6,5,5,8,8,12,11,6,6,5,9,1,6,10,4,2,1,1,8,3,1,4,4,4,4,3,4
frigo,fridge,0,0,0,0,0,0,3,3,2,4,1,3,9,14,5,5,6,2,1,1,8,10,5,2,2,6,1,4,1,9,7,12,3
glas,glass,0,0,0,0,0,0,0,1,3,8,9,1,10,4,1,5,3,15,1,6,2,1,14,9,3,17,6,1,8,6,1,2,5
handdoek,towel,0,0,0,0,0,0,0,0,12,12,4,1,4,8,13,1,1,7,5,5,5,14,1,2,1,5,6,6,5,8,12,1,5
ketel,kettle,0,0,0,0,0,0,0,0,0,5,11,4,12,5,5,5,1,9,1,3,2,7,8,4,12,8,4,2,4,9,9,4,1
klopper,whisk,0,0,0,0,0,0,0,0,0,0,1,4,4,8,5,18,14,6,3,17,5,5,1,10,18,12,8,2,16,12,1,3,8
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,5,8,4,9,4,5,5,8,2,9,3,4,9,10,7,4,9,4,3,3,2,2
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,1,8,2,5,18,1,1,4,8,5,6,15,5,3,13,18,4
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,4,4,9,5,12,15,4,4,3,8,2,18,4,11,3,3,13,13
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,14,2,3,11,4,4,7,5,12,3,8,6,3,1,11,1,4
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,14,6,11,6,5,1,3,8,5,1,7,12,8,8,5
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,12,1,5,1,12,1,8,5,12,1,1,8,2
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,12,8,13,12,1,8,9,1,3,7,7,1,1
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,15,2,3,6,3,15,1,1,5,1,12,5,7
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,12,5,2,1,3,9,4,9,13,10,1
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,5,6,11,1,1,8,5,15,7,12,11
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,8,4,3,5,2,11,2,16,4
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,11,2,5,3,10,1,5,1,3
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,11,3,13,2,1,2,1
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,2,4,14,9,8,1
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,5,7,8,10,4
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,1,1,3,3,5
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,7,5,5,6
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2,3,12
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,9
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
