,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,11,1,1,1,1,1,1,1,2,1,1,1,1
bord,plate,0,0,1,1,4,1,1,1,10,1,1,15,14,9,16,1,1,20,1,1,16,1,1,1,1,4,9,1,15,1,12,1,1
broodrooster,toaster,0,0,0,1,14,1,1,1,8,5,11,1,15,1,6,1,2,1,8,1,5,1,1,1,5,1,1,1,1,1,1,1,1
fles,bottle,0,0,0,0,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1
fornuis,stove,0,0,0,0,0,5,1,1,10,1,10,1,9,1,1,1,1,1,14,5,1,1,1,1,1,1,1,1,1,9,1,5,1
frigo,fridge,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
glas,glass,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,16,1,1,1,1,1,2,2
handdoek,towel,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,5,16,1,1,1,1,1
ketel,kettle,0,0,0,0,0,0,0,0,0,1,15,1,1,2,16,1,1,9,9,15,10,1,1,1,4,1,10,1,1,1,1,11,9
klopper,whisk,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,20,1,1,1,1,1,1,4,1,9,1,15,1,1,1,1,5,1
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,1,1,1,1,14,1,1,1,1,19,1,1,1,1,4,1,1
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,18,18,9,1,1,1,1,1,12,2,1,1,18,1
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,16,1,1,1,1,1,15,1,15,1,20,1,19,1,1,1,1
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,14,1,1,1,1,14,1,1,1,9,14,1,1,4,1,1,1
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,15,8,1,1,1,1,5,4,1,1,3,1,1,1
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,5,9,1,1,1,1,1,1,1,1,1,1,11,1
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,2,1,1,6,12,1,1,1,1,1,1,4,1
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,1,1,10,1,10,2,1,1,1,1
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1,1,1,1,1,1,10,1,1,1
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,10,1,1,1,1,3
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,1,1,1,1
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,4,1,1,1,1
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,1
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,11,1,1,1,1
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,11,1,1
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11,1
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,14
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
