,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,1,1,10,1,1,1,1,1,13,1,1,5,1,2,1,6,1,1,1,1,1,2,1,12,1,2,1,3,1,1,1,2
bord,plate,0,0,3,3,1,1,3,1,2,1,3,19,3,3,2,1,3,6,1,4,12,1,1,1,3,13,1,1,2,3,3,3,1
broodrooster,toaster,0,0,0,1,1,1,1,1,2,1,3,1,1,2,7,1,1,1,10,10,1,3,1,1,1,1,1,1,1,3,1,1,1
fles,bottle,0,0,0,0,2,1,12,1,1,1,3,7,1,1,2,5,1,1,1,2,5,1,1,2,1,9,1,2,1,1,1,3,1
fornuis,stove,0,0,0,0,0,9,1,1,16,1,10,1,1,1,9,1,1,2,1,1,1,1,3,1,1,1,1,1,1,11,1,1,1
frigo,fridge,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1
glas,glass,0,0,0,0,0,0,0,1,4,1,3,1,3,1,2,1,1,1,1,1,8,1,1,1,3,16,14,4,3,5,1,1,1
handdoek,towel,0,0,0,0,0,0,0,0,1,1,1,2,1,10,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1
ketel,kettle,0,0,0,0,0,0,0,0,0,4,10,18,2,1,4,3,4,1,8,1,15,1,1,1,6,3,1,18,2,6,1,8,1
klopper,whisk,0,0,0,0,0,0,0,0,0,0,1,3,7,5,1,20,1,1,1,1,1,5,3,1,3,1,7,1,8,1,1,1,7
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,1,1,1,2,6,1,1,1,1,5,1,2,1,18,1,1,1
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,19,15,16,1,1,1,3,5,2,16,1,6,10,12,12
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,10,3,1,1,1,1,1,1,1,6,3,20,3,18,3,9,2,3
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,1,1,8,3,12,17,1,6,5,18,1,19,2,9,2,1
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18,9,3,1,1,1,1,1,1,1,1,2,1,2,1
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,3,1,5,1,5,1,9,1,1,1,1
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,3,1,1,1,4,1,1,1,1,1,3
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1,1,1,1,1,1,1,1,9,1,7,3
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,1,1,2,6,1,13,1,6,6,20,6
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,1,16,1,16,1,20,17
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,16,11,3,4,12,1,2,1,1
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,1,10,1,1,1,2
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,1,1
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,1,1,1,1,1,15
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,1,5,1
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,1,1,1
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,9,14
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
